13,2244,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14,2241,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,2242,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15,2241,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,2242,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26,1001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1427,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
26,1430,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
32,1987,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,884,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1050,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2851,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1560,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2764,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,1263,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
202,1263,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
217,1265,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
225,2626,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,684,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,1732,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
261,2078,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,1718,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
283,1520,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,1652,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
290,2322,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
294,1718,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
299,2143,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
299,2166,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
303,1666,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
303,1686,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
306,676,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,450,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,1241,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
309,2281,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
309,2305,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
316,1242,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
316,2999,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
320,2999,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
321,2261,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
327,655,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
331,2071,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
338,1242,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
347,1752,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
350,1592,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,1389,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,1295,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,2868,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
371,2877,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
385,2658,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,586,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,1226,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
401,1219,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
432,1218,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
432,1418,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
432,1428,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
445,510,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,1206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,2732,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,1181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,2540,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
