596,1017
128,937
1168,932
1184,924
127,915
-25,912
541,836
525,814
-52,810
-69,802
-840,599
-540,588
1138,585
1146,585
-800,566
677,564
-488,559
401,539
-734,532
393,512
1342,495
-826,459
1260,458
-786,431
-749,394
-853,376
-894,360
390,359
156,316
112,302
496,270
-327,228
1160,-36
-510,-239
-340,-248
-510,-259
-361,-261
-546,-286
-463,-304
1131,-382
493,-484
494,-509
405,-521
-691,-523
-671,-523
177,-590
-95,-597
-95,-601
182,-616
-433,-627
-403,-627
312,-638
1141,-642
341,-667
1168,-679
-820,-692
-283,-709
-276,-744
622,-780
641,-780
-466,-825
-160,-836
-451,-860
-160,-860
-413,-878
-716,-958
-724,-976
-334,1147
283,1140
-309,1133
141,1114
-130,1102
-17,1090
-292,1083
294,1083
-836,1064
-423,1030
535,1029
355,1025
886,1017
-1064,1001
1010,997
122,979
846,963
789,948
-889,924
-250,923
1360,897
-410,888
-684,879
189,864
755,859
1401,809
-1277,798
-837,795
1184,781
-1163,774
750,767
-464,753
951,749
-1052,739
-275,702
1066,700
-1038,688
1075,669
750,665
-563,653
149,651
-1173,618
-46,598
-176,594
-288,593
-1152,569
568,560
460,539
529,538
-433,508
105,492
219,492
-585,465
-1149,453
591,442
-341,424
728,405
506,385
-401,373
1056,371
-1559,369
310,364
-42,358
-1345,357
-1303,355
246,346
-1273,340
1141,340
1234,300
650,296
802,280
-1448,258
-1175,249
-1122,249
730,239
-570,220
1146,220
1493,217
-1228,196
261,194
-808,178
-1543,127
-1398,117
1164,113
427,100
-1010,62
-1228,50
-684,-26
-437,-67
1503,-67
652,-163
783,-181
1100,-193
-435,-199
705,-213
-1410,-247
-295,-248
271,-251
1340,-274
-885,-293
91,-306
271,-318
-901,-322
81,-352
-1370,-363
-1126,-366
-20,-367
565,-367
840,-384
385,-388
-351,-400
-1274,-441
-1204,-441
1352,-455
160,-468
1143,-468
103,-477
-559,-478
245,-486
1160,-502
-1460,-548
926,-554
-1023,-563
1026,-582
469,-586
710,-593
107,-620
-1279,-680
654,-691
556,-694
-1013,-708
-606,-735
765,-796
240,-827
515,-830
575,-830
-708,-840
-541,-846
261,-853
-980,-856
-939,-856
907,-865
-1193,-866
-118,-866
59,-869
311,-891
0,-903
-78,-915
653,-961
1214,-980
802,-993
760,-994
993,-1002
56,-1008
-551,-1022
460,-1049
-122,-1061
683,-1063
760,-1068
-279,-1073
59,-1101
-1026,-1123
-640,-1127
156,-1131
-689,-1139
307,-1146
-271,-1147
-122,-1147
-868,-1148
-947,363
-420,339
-888,234
-533,158
470,148
-1349,110
-1092,105
-1277,-39
-1603,-80
-1277,-115
-1009,-123
-149,-125
404,-126
510,-132
-97,-341
-99,-489
285,-498
-401,-589
1054,-671
