-570,1070
-233,945
627,941
583,929
921,898
921,879
-62,752
1350,262
91,260
1181,246
61,204
264,194
385,48
-661,-47
-651,-73
510,-227
458,-261
-644,-386
-476,-396
-457,-396
-556,-397
267,-414
298,-414
-7,-429
-830,-434
51,-440
-1225,-474
1484,-512
-1222,-517
1231,-586
1233,-613
-552,-870
-623,-878
-552,-878
-644,-910
211,-950
699,-1133
657,-1156
-961,1145
467,1090
-379,1084
-89,1031
1173,1024
-582,1003
708,997
651,990
106,951
-107,920
-310,912
962,878
-159,853
37,852
-793,849
516,847
277,827
-1132,817
159,781
526,778
117,751
545,746
687,741
828,727
-519,716
-256,701
1182,684
796,679
1097,677
-265,674
-210,674
470,665
560,647
-501,644
103,624
-714,623
-899,598
-188,586
-19,581
700,580
-475,558
882,549
-1453,537
-1266,530
-499,525
451,521
1408,516
563,511
-1048,476
268,472
667,450
820,450
-256,442
-599,441
22,438
160,436
1068,420
1138,418
834,415
-30,414
-746,410
-1509,395
-1051,394
912,372
361,361
150,346
1191,343
-94,318
-134,316
-1316,315
1174,315
-571,313
-371,310
755,301
836,301
-930,284
-175,251
-410,226
-118,171
-997,170
-620,146
-732,81
-1467,58
-964,21
506,9
725,-41
551,-66
321,-129
-1146,-172
-682,-172
347,-227
624,-230
-763,-244
-1157,-246
423,-261
811,-281
-164,-301
270,-305
941,-308
615,-362
769,-363
-316,-377
1362,-430
-97,-443
-388,-454
-913,-464
-181,-464
-1439,-482
-1304,-482
-393,-500
1231,-505
2,-526
829,-542
668,-554
-1027,-562
-742,-579
1482,-643
262,-671
-1224,-685
303,-699
-724,-815
667,-887
302,-892
-1244,-914
506,-920
301,-936
469,-936
-337,-971
1261,-978
-819,-990
-57,-1001
-98,-1010
246,-1105
-787,-1137
-591,-1143
72,-1164
-679,224
572,136
621,136
-1030,127
-1447,103
4,-665
1250,-836
