31.5,192
-64.5,187
82.5,186
159.5,183
26.5,180
-75.5,179
159.5,153
131.5,131
149.5,111
-188.5,102
-179.5,97
-204.5,86
-38.5,77
-21.5,73
14.5,71
28.5,71
-211.5,69
-234.5,65
10.5,51
-190.5,-12
-177.5,-15
-174.5,-15
-146.5,-20
-128.5,-31
-179.5,-36
-89.5,-40
-123.5,-42
-118.5,-49
208.5,-60
-32.5,-64
-46.5,-72
-14.5,-76
-182.5,-79
-9.5,-86
-172.5,-93
208.5,-99
183.5,-101
121.5,-136
-131.5,-137
98.5,-141
153.5,-142
-124.5,-176
77.5,-193
58.5,-230
-19.5,205
-88.5,178
-46.5,177
182.5,104
50.5,98
197.5,79
239.5,69
188.5,63
-158.5,-50
125.5,-50
84.5,-57
-28.5,-74
54.5,-90
-12.5,-99
113.5,-107
-213.5,-129
23.5,-163
-107.5,-200
30.5,-210
-72.5,-215
-17.5,-254
